                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
008041	VEB KOMBINAT ROBOTRON
008042	Force Computers
008043	Networld Inc
008044	SYSTECH COMPUTER CORP.
008045	Matsushita Electric Ind Co
008046	University of Toronto
008047	IN-NET CORP.
008048	Compex, used by Commodore and DEC at least
008049	Nissin Electric Co Ltd
00804A	Pro-Log
00804B	EAGLE TECHNOLOGIES PTY.LTD.
00804C	Contec Co., Ltd.
00804D	Cyclone Microsystems, Inc.
00804E	APEX COMPUTER COMPANY
00804F	DAIKIN INDUSTRIES, LTD.
008050	ZIATECH CORPORATION
008051	ADC Fibermux
008052	Network Professor
008053	INTELLICOM, INC.
008054	FRONTIER TECHNOLOGIES CORP.
008055	Fermilab
008056	SPHINX Electronics GmbH & Co KG
008057	Adsoft Ltd
008058	PRINTER SYSTEMS CORP.
008059	STANLEY ELECTRIC CO., LTD
00805A	Tulip Computers International BV
00805B	Condor Systems, Inc.
00805C	Agilis?		# Agilis(?)
00805D	Canstar
00805E	LSI LOGIC CORPORATION
00805F	Compaq Computer Corporation
008060	Network Interface Corporation
008061	LITTON SYSTEMS, INC.
008062	Interface Co.
008063	Richard Hirschmann Gmbh & Co
008064	Wyse
008065	CYBERGRAPHIC SYSTEMS PTY LTD.
008066	ARCOM CONTROL SYSTEMS, LTD.
008067	Square D Company
008068	YAMATECH SCIENTIFIC LTD.
008069	Computone Systems
00806A	ERI (Empac Research Inc.)
00806B	Schmid Telecommunication
00806C	Cegelec Projects Ltd
00806D	Century Systems Corp.
00806E	Nippon Steel Corporation
00806F	Onelan Ltd
008070	COMPUTADORAS MICRON
008071	SAI Technology
008072	Microplex Systems Ltd
008073	DWB ASSOCIATES
008074	Fisher Controls
008075	PARSYTEC GMBH
008076	Mcnc
008077	Brother industries, LTD.
008078	PRACTICAL PERIPHERALS, INC.
008079	Microbus Designs Ltd
00807A	AITECH SYSTEMS LTD.
00807B	Artel Communications Corp.
00807C	Fibercom
00807D	Equinox Systems Inc
00807E	SOUTHERN PACIFIC LTD.
00807F	DY-4 INCORPORATED
008080	DATAMEDIA CORPORATION
008081	KENDALL SQUARE RESEARCH CORP.
008082	PEP Modular Computers Gmbh
008083	Amdahl
008084	THE CLOUD INC.
008085	H-THREE SYSTEMS CORPORATION
008086	Computer Generation Inc.
008087	Okidata
008088	VICTOR COMPANY OF JAPAN, LTD.
008089	TECNETICS (PTY) LTD.
00808A	Summit?		# Summit (?)
00808B	Dacoll Limited
00808C	Netscout Systems (formerly Frontier Software Development)
00808D	Westcove Technology BV
00808E	Radstone Technology
00808F	C. ITOH ELECTRONICS, INC.
008090	Microtek International Inc
008091	TOKYO ELECTRIC CO.,LTD
008092	Japan Computer Industry, Inc.
008093	Xyron Corporation
008094	Sattcontrol AB
008095	BASIC MERTON HANDELSGES.M.B.H.
008096	HDS
008097	CENTRALP AUTOMATISMES
008098	TDK Corporation
008099	Eaton Industries GmbH
00809A	Novus Networks Ltd
00809B	Justsystem Corporation
00809C	LUXCOM, INC.
00809D	Datacraft Manufactur'g Pty Ltd
00809E	DATUS GMBH
00809F	Alcatel Business Systems
0080A0	Hewlett Packard
0080A1	Microtest
0080A2	CREATIVE ELECTRONIC SYSTEMS
0080A3	Lantronix	(see also 0800A3)
0080A4	LIBERTY ELECTRONICS
0080A5	SPEED INTERNATIONAL
0080A6	Republic Technology Inc
0080A7	Measurex Corp
0080A8	VITACOM CORPORATION
0080A9	CLEARPOINT RESEARCH
0080AA	Maxpeed
0080AB	DUKANE NETWORK INTEGRATION
0080AC	IMLOGIX, DIVISION OF GENESYS
0080AD	Telebit
0080AE	Hughes Network Systems
0080AF	Allumer Co., Ltd.
0080B0	ADVANCED INFORMATION
0080B1	Softcom A/S
0080B2	NET (Network Equipment Technologies)
0080B3	AVAL DATA CORPORATION
0080B4	SOPHIA SYSTEMS
0080B5	UNITED NETWORKS INC.
0080B6	Themis corporation
0080B7	STELLAR COMPUTER
0080B8	DMG MORI B.U.G. CO., LTD.
0080B9	ARCHE TECHNOLIGIES INC.
0080BA	Specialix (Asia) Pte Ltd
0080BB	HUGHES LAN SYSTEMS
0080BC	HITACHI ENGINEERING CO., LTD
0080BD	THE FURUKAWA ELECTRIC CO., LTD
0080BE	ARIES RESEARCH
0080BF	TAKAOKA ELECTRIC MFG. CO. LTD.
0080C0	Penril Datability Networks
0080C1	LANEX CORPORATION
0080C2	IEEE				802.1 Committee
0080C3	BICC INFORMATION SYSTEMS & SVC
0080C4	DOCUMENT TECHNOLOGIES, INC.
0080C5	NOVELLCO DE MEXICO
0080C6	Soho
0080C7	Xircom, Inc.
0080C8	D-Link	(also Solectek Pocket Adapters, and LinkSys PCMCIA)
0080C9	Alberta Microelectronic Centre
0080CA	NETCOM RESEARCH INCORPORATED
0080CB	FALCO DATA PRODUCTS
0080CC	MICROWAVE BYPASS SYSTEMS
0080CD	MICRONICS COMPUTER, INC.
0080CE	Broadcast Television Systems
0080CF	EMBEDDED PERFORMANCE INC.
0080D0	Computer Products International
0080D1	KIMTRON CORPORATION
0080D2	SHINNIHONDENKO CO., LTD.
0080D3	Shiva				Appletalk-Ethernet interface
0080D4	Chase Limited
0080D5	CADRE TECHNOLOGIES
0080D6	Apple Mac Portable(?)
0080D7	Fantum Electronics
0080D8	Network Peripherals
0080D9	EMK Elektronik GmbH & Co. KG
0080DA	Bruel & Kjaer
0080DB	GRAPHON CORPORATION
0080DC	PICKER INTERNATIONAL
0080DD	GMX INC/GIMIX
0080DE	GIPSI S.A.
0080DF	ADC CODENOLL TECHNOLOGY CORP.
0080E0	XTP Systems Inc
0080E1	STMicroelectronics SRL
0080E2	T.D.I. CO., LTD.
0080E3	Coral?		# Coral (?)
0080E4	NORTHWEST DIGITAL SYSTEMS, INC
0080E5	Netapp
0080E6	PEER NETWORKS, INC.
0080E7	Lynwood Scientific Dev Ltd
0080E8	CUMULUS CORPORATIION
0080E9	Madge Ltd.
0080EA	The Fiber Company
0080EB	COMPCONTROL B.V.
0080EC	SUPERCOMPUTING SOLUTIONS, INC.
0080ED	IQ TECHNOLOGIES, INC.
0080EE	THOMSON CSF
0080EF	Rational
0080F0	Kyushu Matsushita Electric Co
0080F1	Opus
0080F2	RAYCOM SYSTEMS INC
0080F3	Sun Electronics Corp
0080F4	Telemechanique Electrique
0080F5	Quantel Ltd
0080F6	SYNERGY MICROSYSTEMS
0080F7	Zenith Communications Products
0080F8	MIZAR, INC.
0080F9	HEURIKON CORPORATION
0080FA	RWT GMBH
0080FB	BVM Limited
0080FC	AVATAR CORPORATION
0080FD	EXSCEED CORPRATION
0080FE	Azure Technologies Inc
0080FF	SOC. DE TELEINFORMATIQUE RTC
0081C4	Cisco Systems, Inc
0084ED	Private
0086A0	Private
008701	Samsung Electronics Co.,Ltd
008731	Cisco Systems, Inc
008865	Apple, Inc.
008A96	Cisco Systems, Inc
008B43	Rftech
008C10	Black Box Corp.
008C54	ADB Broadband Italia
008CFA	INVENTEC Corporation
008D4E	CJSC NII STT
008DDA	Link One Co., Ltd.
008E73	Cisco Systems, Inc
008EF2	Netgear
009000	DIAMOND MULTIMEDIA
009001	NISHIMU ELECTRONICS INDUSTRIES CO., LTD.
009002	ALLGON AB
009003	Aplio
009004	3com
009005	PROTECH SYSTEMS CO., LTD.
009006	Hamamatsu Photonics K.K.
009007	DOMEX TECHNOLOGY CORP.
009008	HanA Systems Inc.
009009	I Controls, Inc.
00900A	PROTON ELECTRONIC INDUSTRIAL CO., LTD.
00900B	LANNER ELECTRONICS, INC.
00900C	Cisco Systems, Inc
00900D	Overland Storage Inc.
00900E	HANDLINK TECHNOLOGIES, INC.
00900F	KAWASAKI HEAVY INDUSTRIES, LTD
009010	SIMULATION LABORATORIES, INC.
009011	WAVTrace, Inc.
009012	GLOBESPAN SEMICONDUCTOR, INC.
009013	SAMSAN CORP.
009014	ROTORK INSTRUMENTS, LTD.
009015	CENTIGRAM COMMUNICATIONS CORP.
009016	Zac
009017	Zypcom, Inc
009018	ITO ELECTRIC INDUSTRY CO, LTD.
009019	HERMES ELECTRONICS CO., LTD.
00901A	UNISPHERE SOLUTIONS
00901B	DIGITAL CONTROLS
00901C	mps Software Gmbh
00901D	PEC (NZ) LTD.
00901E	Selesta Ingegneria S.p.A.
00901F	ADTEC PRODUCTIONS, INC.
009020	PHILIPS ANALYTICAL X-RAY B.V.
009021	Cisco Systems, Inc
009022	Ivex
009023	ZILOG INC.
009024	PIPELINKS, INC.
009025	BAE Systems Australia (Electronic Systems) Pty Ltd
009026	ADVANCED SWITCHING COMMUNICATIONS, INC.
009027	Intel
009028	NIPPON SIGNAL CO., LTD.
009029	CRYPTO AG
00902A	COMMUNICATION DEVICES, INC.
00902B	Cisco				Ethernet Switches and Light Streams
00902C	DATA & CONTROL EQUIPMENT LTD.
00902D	DATA ELECTRONICS (AUST.) PTY, LTD.
00902E	NAMCO LIMITED
00902F	NETCORE SYSTEMS, INC.
009030	HONEYWELL-DATING
009031	MYSTICOM, LTD.
009032	PELCOMBE GROUP LTD.
009033	INNOVAPHONE AG
009034	IMAGIC, INC.
009035	ALPHA TELECOM, INC.
009036	ens, inc.
009037	ACUCOMM, INC.
009038	FOUNTAIN TECHNOLOGIES, INC.
009039	SHASTA NETWORKS
00903A	NIHON MEDIA TOOL INC.
00903B	TriEMS Research Lab, Inc.
00903C	ATLANTIC NETWORK SYSTEMS
00903D	BIOPAC SYSTEMS, INC.
00903E	N.V. PHILIPS INDUSTRIAL ACTIVITIES
00903F	AZTEC RADIOMEDIA
009040	Siemens Network Convergence LLC
009041	APPLIED DIGITAL ACCESS
009042	ECCS, Inc.
009043	Tattile SRL
009044	ASSURED DIGITAL, INC.
009045	Marconi Communications
009046	DEXDYNE, LTD.
009047	GIGA FAST E. LTD.
009048	ZEAL CORPORATION
009049	ENTRIDIA CORPORATION
00904A	CONCUR SYSTEM TECHNOLOGIES
00904B	Gemtek Technology Co., Ltd.
00904C	Epigram, Inc.
00904D	SPEC S.A.
00904E	DELEM BV
00904F	ABB POWER T&D COMPANY, INC.
009050	Teleste Corporation
009051	ULTIMATE TECHNOLOGY CORP.
009052	SELCOM ELETTRONICA S.R.L.
009053	DAEWOO ELECTRONICS CO., LTD.
009054	INNOVATIVE SEMICONDUCTORS, INC
009055	PARKER HANNIFIN CORPORATION COMPUMOTOR DIVISION
009056	TELESTREAM, INC.
009057	AANetcom, Inc.
009058	Ultra Electronics Command & Control Systems
009059	TELECOM DEVICE K.K.
00905A	DEARBORN GROUP, INC.
00905B	RAYMOND AND LAE ENGINEERING
00905C	Edmi
00905D	NETCOM SICHERHEITSTECHNIK GMBH
00905E	Rauland-               # RAULAND-BORG CORPORATION
00905F	Cisco Systems, Inc
009060	SYSTEM CREATE CORP.
009061	PACIFIC RESEARCH & ENGINEERING CORPORATION
009062	ICP VORTEX COMPUTERSYSTEME GmbH
009063	COHERENT COMMUNICATIONS SYSTEMS CORPORATION
009064	Thomson Inc.
009065	FINISAR CORPORATION
009066	Troika Networks, Inc.
009067	WalkAbout Computers, Inc.
009068	DVT CORP.
009069	Juniper Networks
00906A	TURNSTONE SYSTEMS, INC.
00906B	APPLIED RESOURCES, INC.
00906C	Sartorius Hamburg GmbH
00906D	Cisco Systems, Inc
00906E	PRAXON, INC.
00906F	Cisco Systems, Inc
009070	NEO NETWORKS, INC.
009071	Applied Innovation Inc.
009072	SIMRAD AS
009073	GAIO TECHNOLOGY
009074	ARGON NETWORKS, INC.
009075	NEC DO BRASIL S.A.
009076	FMT AIRCRAFT GATE SUPPORT SYSTEMS AB
009077	ADVANCED FIBRE COMMUNICATIONS
009078	MER TELEMANAGEMENT SOLUTIONS, LTD.
009079	ClearOne, Inc.
00907A	Spectralink, Inc
00907B	E-TECH, INC.
00907C	DIGITALCAST, INC.
00907D	Lake Communications
00907E	VETRONIX CORP.
00907F	WatchGuard Technologies, Inc.
009080	NOT LIMITED, INC.
009081	ALOHA NETWORKS, INC.
009082	FORCE INSTITUTE
009083	TURBO COMMUNICATION, INC.
009084	ATECH SYSTEM
009085	GOLDEN ENTERPRISES, INC.
009086	Cisco
009087	Itis
009088	BAXALL SECURITY LTD.
009089	SOFTCOM MICROSYSTEMS, INC.
00908A	BAYLY COMMUNICATIONS, INC.
00908B	Tattile SRL
00908C	ETREND ELECTRONICS, INC.
00908D	VICKERS ELECTRONICS SYSTEMS
00908E	Nortel Networks Broadband Access
00908F	AUDIO CODES LTD.
009090	I-Bus
009091	DigitalScape, Inc.
009092	Cisco
009093	NANAO CORPORATION
009094	OSPREY TECHNOLOGIES, INC.
009095	UNIVERSAL AVIONICS
009096	ASKEY COMPUTER CORP
009097	Sycamore Networks
009098	SBC DESIGNS, INC.
009099	ALLIED TELESIS, K.K.
00909A	ONE WORLD SYSTEMS, INC.
00909B	MARKEM-IMAJE
00909C	ARRIS Group, Inc.
00909D	NovaTech Process Solutions, LLC
00909E	Critical IO, LLC
00909F	DIGI-DATA CORPORATION
0090A0	8X8 INC.
0090A1	Flying Pig Systems/High End Systems Inc.
0090A2	CyberTAN Technology Inc.
0090A3	Corecess Inc.
0090A4	ALTIGA NETWORKS
0090A5	SPECTRA LOGIC
0090A6	Cisco Systems, Inc
0090A7	CLIENTEC CORPORATION
0090A8	NineTiles Networks, Ltd.
0090A9	WESTERN DIGITAL
0090AA	INDIGO ACTIVE VISION SYSTEMS LIMITED
0090AB	Cisco
0090AC	OPTIVISION, INC.
0090AD	ASPECT ELECTRONICS, INC.
0090AE	ITALTEL S.p.A/RF-UP-I
0090AF	J. MORITA MFG. CORP.
0090B0	Vadem
0090B1	Cisco
0090B2	AVICI SYSTEMS INC.
0090B3	AGRANAT SYSTEMS
0090B4	WILLOWBROOK TECHNOLOGIES
0090B5	NIKON CORPORATION
0090B6	FIBEX SYSTEMS
0090B7	DIGITAL LIGHTWAVE, INC.
0090B8	ROHDE & SCHWARZ GMBH & CO. KG
0090B9	BERAN INSTRUMENTS LTD.
0090BA	VALID NETWORKS, INC.
0090BB	TAINET COMMUNICATION SYSTEM Corp.
0090BC	TELEMANN CO., LTD.
0090BD	OMNIA COMMUNICATIONS, INC.
0090BE	IBC/INTEGRATED BUSINESS COMPUTERS
0090BF	Cisco Systems, Inc
0090C0	K.J. LAW ENGINEERS, INC.
0090C1	Peco II, Inc.
0090C2	JK microsystems, Inc.
0090C3	TOPIC SEMICONDUCTOR CORP.
0090C4	JAVELIN SYSTEMS, INC.
0090C5	INTERNET MAGIC, INC.
0090C6	OPTIM SYSTEMS, INC.
0090C7	ICOM INC.
0090C8	WAVERIDER COMMUNICATIONS (CANADA) INC.
0090C9	DPAC Technologies
0090CA	ACCORD VIDEO TELECOMMUNICATIONS, LTD.
0090CB	Wireless OnLine, Inc.
0090CC	PLANEX COMMUNICATIONS INC.
0090CD	ENT-EMPRESA NACIONAL DE TELECOMMUNICACOES, S.A.
0090CE	TETRA GmbH
0090CF	Nortel
0090D0	Thomson Telecom Belgium
0090D1	LEICHU ENTERPRISE CO., LTD.
0090D2	ARTEL VIDEO SYSTEMS
0090D3	GIESECKE & DEVRIENT GmbH
0090D4	BindView Development Corp.
0090D5	EUPHONIX, INC.
0090D6	Crystal Group, Inc.
0090D7	NetBoost Corp.
0090D8	WHITECROSS SYSTEMS
0090D9	Cisco Systems, Inc
0090DA	DYNARC, INC.
0090DB	NEXT LEVEL COMMUNICATIONS
0090DC	TECO INFORMATION SYSTEMS
0090DD	MIHARU COMMUNICATIONS Inc
0090DE	CARDKEY SYSTEMS, INC.
0090DF	MITSUBISHI CHEMICAL AMERICA, INC.
0090E0	SYSTRAN CORP.
0090E1	TELENA S.P.A.
0090E2	DISTRIBUTED PROCESSING TECHNOLOGY
0090E3	AVEX ELECTRONICS INC.
0090E4	NEC AMERICA, INC.
0090E5	TEKNEMA, INC.
0090E6	ALi Corporation
0090E7	HORSCH ELEKTRONIK AG
0090E8	MOXA TECHNOLOGIES CORP., LTD.
0090E9	JANZ COMPUTER AG
0090EA	ALPHA TECHNOLOGIES, INC.
0090EB	SENTRY TELECOM SYSTEMS
0090EC	Pyrescom
0090ED	CENTRAL SYSTEM RESEARCH CO., LTD.
0090EE	PERSONAL COMMUNICATIONS TECHNOLOGIES
0090EF	INTEGRIX, INC.
0090F0	Harmonic Video Systems Ltd.
0090F1	DOT HILL SYSTEMS CORPORATION
0090F2	Cisco				Ethernet Switches and Light Streams
0090F3	ASPECT COMMUNICATIONS
0090F4	LIGHTNING INSTRUMENTATION
0090F5	CLEVO CO.
0090F6	ESCALATE NETWORKS, INC.
0090F7	NBASE COMMUNICATIONS LTD.
0090F8	MEDIATRIX TELECOM
0090F9	Imagine Communications
0090FA	Emulex Corporation
0090FB	PORTWELL, INC.
0090FC	NETWORK COMPUTING DEVICES
0090FD	CopperCom, Inc.
0090FE	ELECOM CO., LTD.  (LANEED DIV.)
0090FF	TELLUS TECHNOLOGY INC.
0091D6	Crystal Group, Inc.
0091FA	Synapse Product Development
0092FA	SHENZHEN WISKY TECHNOLOGY CO.,LTD
009363	Uni-Link Technology Co., Ltd.
009569	LSD Science and Technology Co.,Ltd.
0097FF	Heimann Sensor GmbH
009ACD	HUAWEI TECHNOLOGIES CO.,LTD
009C02	Hewlett Packard
009D8E	CARDIAC RECORDERS, INC.
009E1E	Cisco Systems, Inc
009EC8	Xiaomi Communications Co Ltd
00A000	Bay Networks			Ethernet switch
00A001	DRS Signal Solutions
00A002	LEEDS & NORTHRUP AUSTRALIA PTY LTD
00A003	Siemens Switzerland Ltd., I B T HVP
00A004	NETPOWER, INC.
00A005	DANIEL INSTRUMENTS, LTD.
00A006	IMAGE DATA PROCESSING SYSTEM GROUP
00A007	APEXX TECHNOLOGY, INC.
00A008	Netcorp
00A009	WHITETREE NETWORK
00A00A	Airspan
00A00B	COMPUTEX CO., LTD.
00A00C	Kingmax Technology Inc.		PCMCIA card
00A00D	THE PANDA PROJECT
00A00E	NetScout Systems, Inc.
00A00F	Broadband Technologies
00A010	SYSLOGIC DATENTECHNIK AG
00A011	MUTOH INDUSTRIES LTD.
00A012	Telco Systems, Inc.
00A013	TELTREND LTD.
00A014	Csir
00A015	Wyle
00A016	MICROPOLIS CORP.
00A017	J B M CORPORATION
00A018	CREATIVE CONTROLLERS, INC.
00A019	NEBULA CONSULTANTS, INC.
00A01A	BINAR ELEKTRONIK AB
00A01B	PREMISYS COMMUNICATIONS, INC.
00A01C	NASCENT NETWORKS CORPORATION
00A01D	Red Lion Controls, LP
00A01E	EST CORPORATION
00A01F	TRICORD SYSTEMS, INC.
00A020	CITICORP/TTI
00A021	General Dynamics
00A022	CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING
00A023	APPLIED CREATIVE TECHNOLOGY, INC.
00A024	3com
00A025	REDCOM LABS INC.
00A026	TELDAT, S.A.
00A027	FIREPOWER SYSTEMS, INC.
00A028	CONNER PERIPHERALS
00A029	COULTER CORPORATION
00A02A	TRANCELL SYSTEMS
00A02B	TRANSITIONS RESEARCH CORP.
00A02C	interWAVE Communications
00A02D	1394 Trade Association
00A02E	BRAND COMMUNICATIONS, LTD.
00A02F	ADB Broadband Italia
00A030	CAPTOR NV/SA
00A031	HAZELTINE CORPORATION, MS 1-17
00A032	GES SINGAPORE PTE. LTD.
00A033	imc MeBsysteme GmbH
00A034	Axel
00A035	CYLINK CORPORATION
00A036	APPLIED NETWORK TECHNOLOGY
00A037	Mindray DS USA, Inc.
00A038	EMAIL ELECTRONICS
00A039	ROSS TECHNOLOGY, INC.
00A03A	KUBOTEK CORPORATION
00A03B	TOSHIN ELECTRIC CO., LTD.
00A03C	EG&G NUCLEAR INSTRUMENTS
00A03D	Opto-22
00A03E	ATM FORUM
00A03F	COMPUTER SOCIETY MICROPROCESSOR & MICROPROCESSOR STANDARDS C
00A040	Apple (PCI Mac)
00A041	Inficon
00A042	SPUR PRODUCTS CORP.
00A043	AMERICAN TECHNOLOGY LABS, INC.
00A044	NTT IT CO., LTD.
00A045	PHOENIX CONTACT Electronics GmbH
00A046	SCITEX CORP. LTD.
00A047	INTEGRATED FITNESS CORP.
00A048	QUESTECH, LTD.
00A049	DIGITECH INDUSTRIES, INC.
00A04A	NISSHIN ELECTRIC CO., LTD.
00A04B	Sonic Systems Inc.		EtherFE 10/100 PCI for Mac or PC
00A04C	INNOVATIVE SYSTEMS & TECHNOLOGIES, INC.
00A04D	EDA INSTRUMENTS, INC.
00A04E	VOELKER TECHNOLOGIES, INC.
00A04F	AMERITEC CORP.
00A050	CYPRESS SEMICONDUCTOR
00A051	ANGIA COMMUNICATIONS. INC.
00A052	STANILITE ELECTRONICS PTY. LTD
00A053	COMPACT DEVICES, INC.
00A054	Private
00A055	Data Device Corporation
00A056	MICROPROSS
00A057	LANCOM Systems GmbH
00A058	GLORY, LTD.
00A059	HAMILTON HALLMARK
00A05A	KOFAX IMAGE PRODUCTS
00A05B	MARQUIP, INC.
00A05C	INVENTORY CONVERSION, INC./
00A05D	CS COMPUTER SYSTEME GmbH
00A05E	MYRIAD LOGIC INC.
00A05F	BTG Electronics Design BV
00A060	ACER PERIPHERALS, INC.
00A061	PURITAN BENNETT
00A062	AES PRODATA
00A063	JRL SYSTEMS, INC.
00A064	KVB/ANALECT
00A065	Symantec Corporation
00A066	ISA CO., LTD.
00A067	NETWORK SERVICES GROUP
00A068	BHP LIMITED
00A069	Symmetricom, Inc.
00A06A	Verilink Corporation
00A06B	DMS DORSCH MIKROSYSTEM GMBH
00A06C	SHINDENGEN ELECTRIC MFG. CO., LTD.
00A06D	MANNESMANN TALLY CORPORATION
00A06E	AUSTRON, INC.
00A06F	Color Sentinel Systems, LLC
00A070	Coastcom
00A071	VIDEO LOTTERY TECHNOLOGIES,INC
00A072	OVATION SYSTEMS LTD.
00A073	Com21
00A074	PERCEPTION TECHNOLOGY
00A075	MICRON TECHNOLOGY, INC.
00A076	CARDWARE LAB, INC.
00A077	FUJITSU NEXION, INC.
00A078	Marconi Communications
00A079	ALPS ELECTRIC (USA), INC.
00A07A	ADVANCED PERIPHERALS TECHNOLOGIES, INC.
00A07B	DAWN COMPUTER INCORPORATION
00A07C	TONYANG NYLON CO., LTD.
00A07D	SEEQ TECHNOLOGY, INC.
00A07E	AVID TECHNOLOGY, INC.
00A07F	GSM-SYNTEL, LTD.
00A080	Tattile SRL
00A081	ALCATEL DATA NETWORKS
00A082	NKT ELEKTRONIK A/S
00A083	Intel
00A084	Dataplex Pty Ltd
00A085	Private
00A086	AMBER WAVE SYSTEMS, INC.
00A087	Microsemi Corporation
00A088	ESSENTIAL COMMUNICATIONS
00A089	XPOINT TECHNOLOGIES, INC.
00A08A	BROOKTROUT TECHNOLOGY, INC.
00A08B	ASTON ELECTRONIC DESIGNS LTD.
00A08C	MultiMedia LANs, Inc.
00A08D	JACOMO CORPORATION
00A08E	Check Point Software Technologies
00A08F	DESKNET SYSTEMS, INC.
00A090	TimeStep Corporation
00A091	APPLICOM INTERNATIONAL
00A092	Intermate International		[LAN printer interfaces]
00A093	B/E AEROSPACE, Inc.
00A094	COMSAT CORPORATION
00A095	ACACIA NETWORKS, INC.
00A096	MITSUMI ELECTRIC CO., LTD.
00A097	JC INFORMATION SYSTEMS
00A098	Netapp
00A099	K-NET LTD.
00A09A	NIHON KOHDEN AMERICA
00A09B	QPSX COMMUNICATIONS, LTD.
00A09C	Xyplex, Inc.
00A09D	JOHNATHON FREEMAN TECHNOLOGIES
00A09E	Ictv
00A09F	COMMVISION CORP.
00A0A0	COMPACT DATA, LTD.
00A0A1	EPIC DATA INC.
00A0A2	DIGICOM S.P.A.
00A0A3	RELIABLE POWER METERS
00A0A4	Oracle Corporation
00A0A5	TEKNOR MICROSYSTEME, INC.
00A0A6	M.I. SYSTEMS, K.K.
00A0A7	VORAX CORPORATION
00A0A8	RENEX CORPORATION
00A0A9	NAVTEL COMMUNICATIONS INC.
00A0AA	SPACELABS MEDICAL
00A0AB	NETCS INFORMATIONSTECHNIK GMBH
00A0AC	GILAT SATELLITE NETWORKS, LTD.
00A0AD	MARCONI SPA
00A0AE	Network Peripherals, Inc.
00A0AF	WMS INDUSTRIES
00A0B0	I-O DATA DEVICE, INC.
00A0B1	FIRST VIRTUAL CORPORATION
00A0B2	SHIMA SEIKI
00A0B3	Zykronix
00A0B4	TEXAS MICROSYSTEMS, INC.
00A0B5	3H TECHNOLOGY
00A0B6	SANRITZ AUTOMATION CO., LTD.
00A0B7	CORDANT, INC.
00A0B8	Netapp
00A0B9	EAGLE TECHNOLOGY, INC.
00A0BA	PATTON ELECTRONICS CO.
00A0BB	HILAN GMBH
00A0BC	VIASAT, INCORPORATED
00A0BD	I-TECH CORP.
00A0BE	INTEGRATED CIRCUIT SYSTEMS, INC. COMMUNICATIONS GROUP
00A0BF	WIRELESS DATA GROUP MOTOROLA
00A0C0	DIGITAL LINK CORP.
00A0C1	ORTIVUS MEDICAL AB
00A0C2	R.A. SYSTEMS CO., LTD.
00A0C3	UNICOMPUTER GMBH
00A0C4	CRISTIE ELECTRONICS LTD.
00A0C5	ZyXEL Communications Corporation
00A0C6	Qualcomm Inc.
00A0C7	TADIRAN TELECOMMUNICATIONS
00A0C8	Adtran, Inc.
00A0C9	Intel (PRO100B and PRO100+)	[used on Cisco PIX firewall among others]
00A0CA	FUJITSU DENSO LTD.
00A0CB	ARK TELECOMMUNICATIONS, INC.
00A0CC	Lite-On		(used by MacSense in Adapter for Mac, also seen in PCs)
00A0CD	DR. JOHANNES HEIDENHAIN GmbH
00A0CE	Ecessa
00A0CF	SOTAS, INC.
00A0D0	TEN X TECHNOLOGY, INC.
00A0D1	National Semiconductor		[COMPAQ Docking Station]
00A0D2	Allied Telesyn
00A0D3	INSTEM COMPUTER SYSTEMS, LTD.
00A0D4	RADIOLAN,  INC.
00A0D5	SIERRA WIRELESS INC.
00A0D6	SBE, Inc.
00A0D7	KASTEN CHASE APPLIED RESEARCH
00A0D8	Spectra-               # SPECTRA - TEK
00A0D9	CONVEX COMPUTER CORPORATION
00A0DA	INTEGRATED SYSTEMS Technology, Inc.
00A0DB	FISHER & PAYKEL PRODUCTION
00A0DC	O.N. ELECTRONIC CO., LTD.
00A0DD	AZONIX CORPORATION
00A0DE	YAMAHA CORPORATION
00A0DF	STS TECHNOLOGIES, INC.
00A0E0	TENNYSON TECHNOLOGIES PTY LTD
00A0E1	WESTPORT RESEARCH ASSOCIATES, INC.
00A0E2	Keisokugiken Corporation
00A0E3	XKL SYSTEMS CORP.
00A0E4	OPTIQUEST
00A0E5	NHC COMMUNICATIONS
00A0E6	DIALOGIC CORPORATION
00A0E7	CENTRAL DATA CORPORATION
00A0E8	REUTERS HOLDINGS PLC
00A0E9	ELECTRONIC RETAILING SYSTEMS INTERNATIONAL
00A0EA	ETHERCOM CORP.
00A0EB	Encore Networks, Inc.
00A0EC	TRANSMITTON LTD.
00A0ED	Brooks Automation, Inc.
00A0EE	NASHOBA NETWORKS
00A0EF	LUCIDATA LTD.
00A0F0	TORONTO MICROELECTRONICS INC.
00A0F1	Mti
00A0F2	INFOTEK COMMUNICATIONS, INC.
00A0F3	Staubli
00A0F4	Ge
00A0F5	RADGUARD LTD.
00A0F6	AutoGas Systems Inc.
00A0F7	V.I COMPUTER CORP.
00A0F8	Zebra Technologies Inc
00A0F9	BINTEC COMMUNICATIONS GMBH
00A0FA	Marconi Communication GmbH
00A0FB	TORAY ENGINEERING CO., LTD.
00A0FC	IMAGE SCIENCES, INC.
